,Movie_Title,Genre,Director,Number_of_Screens,Verdict,RevenueUSD,BudgetUSD,Music.Director
525,Akira,action,A.R. Murugadoss,2400,Flop,3.84,5.26476,Vishal - Shekhar
526,Noor,drama,Sunhil Sippy,1450,Disaster,2.88,1.42143,Baadshah
527,Dolly Ki Doli,comedy,Abhishek Dogra,1150,Flop,2.52,2.26005,Sajid - Wajid
528,Aisha,rom__com,Rajshree Ojha,625,Flop,2.16,3.06315,Amit Trivedi
529,Neerja,drama,Ram Madhvani,1000,Hit,3.36,14.24628,Vishal Khurana
530,Ek Vivaah... Aisa Bhi,love_story,Kaushik Ghatak,100,Flop,0.42,0.29865,Ravindra Jain
531,Hero,love_story,Nikhil Advani,2100,Flop,4.32,5.78175,Jassi Katyal
532,English Vinglish,drama,Gauri Shinde,700,Semi Hit,3.12,9.4275,Amit Trivedi
533,Mom,drama,Ravi Udyawar,1200,Flop,4.44,6.78888,A.R. Rehman
534,One Two Three,comedy,Ashwini Dhir,575,Average,1.68,3.2832,Raghav Sachar
535,Daddy Cool - Join The Fun,comedy,K. Murali Mohana Rao,525,Flop,1.56,0.76476,Raghav Sachar
536,Fool N Final,comedy,Ahmed Khan,850,Flop,3.12,3.3144,Himesh Reshammiya
537,Kaafila,action,Ammtoje Mann,270,Disaster,2.04,0.48558,Sukhwinder Singh
538,Apne,drama,Anil Sharma,625,Average,2.4,4.7139,Himesh Reshammiya
